"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "CSS", "XML", "JavaScript JSX", "comment", "blank", "total"
"d:\Projects\plumber\src\Pages\Pricing\Pricing.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 2, 24
"d:\Projects\plumber\src\Pages\Services\ServiceDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 3, 17
"d:\Projects\plumber\src\Pages\Services\Services.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 1, 15
"d:\Projects\plumber\src\Pages\Team\Team.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 23, 0, 2, 25
"d:\Projects\plumber\src\Router\Router.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 4, 66
"d:\Projects\plumber\src\Router\ScrollToTop.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 5, 15
"d:\Projects\plumber\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Projects\plumber\src\index.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\Projects\plumber\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"d:\Projects\plumber\tailwind.config.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 1, 2, 39
"d:\Projects\plumber\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 68, 5, 5710, 36, 65, 2, 2958, 127, 201, 9172
